Unnamed: 0.1,Unnamed: 0,name,latitude,longitude
448,448,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
449,449,McDonald's - Good Earth,14.59968074,120.9813703
450,450,Jollibee - Raon,14.600723,120.984396
451,451,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
452,452,KFC - Good Earth,14.599339283333334,120.98126608333332
453,453,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
454,454,Andok's Dine-In - Quiapo,14.6017109,120.9850132
455,455,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
456,456,Chowking - Paterno,14.5994997,120.98417191111112
457,457,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
458,458,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
459,459,Greenwich - Isetann Recto,14.602752,120.984799
460,460,Andok's - Carriedo,14.5990063,120.9814594
461,461,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
462,462,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
463,463,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
464,464,CoCo Fresh Tea & Juice - Youniversity,14.6009454,120.9901214
465,465,Boodle Inasal - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607157,120.987687
466,466,Paotsin - Good Earth Plaza Mall [Available for LONG-DISTANCE DELIVERY],14.59980821,120.9811871
467,467,Red Ribbon - Binondo,14.5982956,120.9757438
468,468,Sukiya - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312,120.983149
469,469,Mang Inasal - Quezon Boulevard,14.6007871,120.9844008
470,470,Fruitas - Youniversity Suites Recto [Available for LONG-DISTANCE DELIVERY],14.60102784,120.9899367
471,471,Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
472,472,Turks - Recto,14.601017,120.989913
473,473,Potato Corner - Isetann Recto,14.602955,120.984146
474,474,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
475,475,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
476,476,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
477,477,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
478,478,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
479,479,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
